fitness,callFunc
99999.270361088,300000
99999.4679880388,300000
99999.5196477093,300000
99999.6129203359,300000
99999.4786062767,300000
99999.5779371352,300000
99999.4658330204,300000
99999.6745896795,300000
99999.6260515128,300000
99999.3488278507,300000
99999.5676009177,300000
99999.5256187392,300000
99999.5548009653,300000
99999.571720334,300000
99999.5573804664,300000
99999.6462848475,300000
99999.4741498005,300000
99999.4638621356,300000
99999.5107424589,300000
99999.6030770652,300000
99999.6952897666,300000
99999.4592045931,300000
99999.458853745,300000
99999.4216966264,300000
99999.4373028053,300000
99999.5312726547,300000
99999.5230881758,300000
99999.4685851888,300000
99999.5749151404,300000
99999.6168501744,300000
99999.4531124063,300000
99999.5159177186,300000
,
99999.5213679425,
0.090904395763514,
